name,address,city,state,source_url
Alabama A & M University,4900 Meridian Street,Normal,AL,https://databayou.com/usofa/colleges.html
University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,https://databayou.com/usofa/colleges.html
Amridge University,1200 Taylor Rd,Montgomery,AL,https://databayou.com/usofa/colleges.html
University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,https://databayou.com/usofa/colleges.html
Alabama State University,915 S Jackson Street,Montgomery,AL,https://databayou.com/usofa/colleges.html
University of Alabama System Office,500 University Blvd. East,Tuscaloosa,AL,https://databayou.com/usofa/colleges.html
The University of Alabama,739 University Blvd,Tuscaloosa,AL,https://databayou.com/usofa/colleges.html
Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,https://databayou.com/usofa/colleges.html
Athens State University,300 N Beaty St,Athens,AL,https://databayou.com/usofa/colleges.html
Auburn University at Montgomery,7440 East Drive,Montgomery,AL,https://databayou.com/usofa/colleges.html
Auburn University,M,Auburn,AL,https://databayou.com/usofa/colleges.html
Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,https://databayou.com/usofa/colleges.html
Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,https://databayou.com/usofa/colleges.html
Concordia College Alabama,1712 Broad Street,Selma,AL,https://databayou.com/usofa/colleges.html
South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,https://databayou.com/usofa/colleges.html
Enterprise State Community College,600 Plaza Drive,Enterprise,AL,https://databayou.com/usofa/colleges.html
James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,https://databayou.com/usofa/colleges.html
Faulkner University,5345 Atlanta Hwy,Montgomery,AL,https://databayou.com/usofa/colleges.html
Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,https://databayou.com/usofa/colleges.html
New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,https://databayou.com/usofa/colleges.html
George C Wallace State Community College-Dothan,1141 Wallace Drive,Dothan,AL,https://databayou.com/usofa/colleges.html
George C Wallace State Community College-Hanceville,801 Main St NW,Hanceville,AL,https://databayou.com/usofa/colleges.html
George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,https://databayou.com/usofa/colleges.html
Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,https://databayou.com/usofa/colleges.html
Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,https://databayou.com/usofa/colleges.html
Heritage Christian University,3625 Helton Dr,Florence,AL,https://databayou.com/usofa/colleges.html
J F Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,https://databayou.com/usofa/colleges.html
J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,https://databayou.com/usofa/colleges.html
Jacksonville State University,700 Pelham Road North,Jacksonville,AL,https://databayou.com/usofa/colleges.html
Jefferson Davis Community College,220 Alco Dr,Brewton,AL,https://databayou.com/usofa/colleges.html
Jefferson State Community College,2601 Carson Rd,Birmingham,AL,https://databayou.com/usofa/colleges.html
John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,https://databayou.com/usofa/colleges.html
Judson College,302 Bibb St,Marion,AL,https://databayou.com/usofa/colleges.html
