name,position,college,team_status,source_url
Will Howard,QB,Ohio State,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Aaron Rodgers,QB,California,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Mason Rudolph,QB,Oklahoma State,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Kenneth Gainwell,QB,Memphis,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Connor Heyward,FB,Michigan State,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Kaleb Johnson,QB,Iowa,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Jaylen Warren,QB,Oklahoma State,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Calvin Austin,QB,Memphis,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
DK Metcalf,QB,Mississippi,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Scotty Miller,QB,Bowling Green,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Ben Skowronek,QB,Notre Dame,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Ke'Shawn Williams,RS,Indiana,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Roman Wilson,QB,Michigan,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Pat Freiermuth,QB,Penn State,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Jonnu Smith,QB,Florida International,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Darnell Washington,QB,Georgia,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Calvin Anderson,LT,Texas,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Spencer Anderson,LG,Maryland,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Troy Fautanu,RT,Washington,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Zach Frazier,C,West Virginia,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Broderick Jones,LT,Georgia,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Ryan McCollum,C,Texas A&M,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Mason McCormick,RG,South Dakota State,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Andrus Peat,RT,Stanford,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Isaac Seumalo,LG,Oregon State,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Keeanu Benton,NT,Wisconsin,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
Yahya Black,DE,Iowa,Player,https://en.wikipedia.org/wiki/2025_Pittsburgh_Steelers_season
